,jw_entity_id,id,title,poster,description,release_year,type,imdb_popularity,tmdb_popularity,imdb_score,imdb_votes,tmdb_score,imdb_id,tmdb_id,genre_ids,age_certification,runtime,production_countries,seasons,streaming_app
683,ts9686,9686,Arakawa Under the Bridge,/poster/300679177/{profile},"Ko Ichinomiya's family motto is ""Never be indebted to anyone,"" but after losing his pants and falling into the Arakawa River, he quickly finds himself in debt to his savior, the cutely insane Nino who happens to live under the bridge. To repay her, he vows to help her with her desire to ""experience love."" Along the way he'll meet the river's other residents, including a hot-blooded kappa, a Sister in drag, and a literal rock star.",2010.0,show,,5.075,7.1,582.0,6.6,tt1639471,92354,"[2, 3, 7, 13]",TV-14,30.0,['JP'],2,Crunchyroll
684,ts90312,90312,"If It's for My Daughter, I'd Even Defeat a Demon Lord",/poster/137001509/{profile},"Dale is a cool, composed, and highly skilled adventurer who's made quite a name for himself despite his youth. One day on a job deep in the forest, he comes across a little devil girl who's almost wasted away. Unable to just leave her there to die, Dale takes her home and becomes her adoptive father.

Devil or not, Latina is beyond adorable, and the adventurer soon finds himself head over heels with being a parent.

But why was she out in the forest to begin with, and why does she carry the mark of a criminal?",2019.0,show,,13.382,6.9,618.0,7.52,tt10347622,88804,"[2, 6, 7, 3]",,23.0,['JP'],1,Crunchyroll
685,ts20075,20075,Orenchi no Furo Jijo,/poster/142223451/{profile},"Tatsumi is a high school student who lives on his own, until a merman named Wakasa takes up residence in his bathtub. His solitary lifestyle is turned upside down by the self-centered (but handsome) new roommate.",2014.0,show,,5.098,6.4,214.0,7.6,tt3985242,61435,"[2, 3, 14, 7]",,4.0,['JP'],1,Crunchyroll
686,ts43892,43892,Unlimited Fafnir,/poster/142193028/{profile},"Twenty-five years ago, the world suddenly changed when monsters called “Dragons” appeared; seeking to ravage the earth and find mates. Over time, superhuman girls possessing the powers of the dragons, called “D girls” were born. Yuu Mononobe is the only male “D” in existence and is forced to enroll at Midgar - an academy for D girls. At the academy, he accidentally runs into Iris, a delinquent D girl, while she’s naked, and even reunites with this long lost sister, Mitsuki, whom he was separated with at birth. Will Iris and Yuu, the boy who is supposed to become the strongest assassin, be able to challenge the seven dragons that threaten to destroy the world?",2015.0,show,,4.893,5.6,119.0,5.0,tt4219158,66863,"[1, 2, 7, 13]",,24.0,['JP'],1,Crunchyroll
687,ts82024,82024,We Rent Tsukumogami,/poster/73539964/{profile},"The series is set during the Edo period, in the Fukagawa ward of old Edo (present-day Tokyo). Because the area is prone to fire and flooding, residents rent everyday items like pots, futons, and clothing from shops instead of purchasing them, so as not to impede them when they flee. Obeni and Seiji, an older sister and younger brother, run one such rental shop called Izumoya. However, mixed in with their inventory are tsukumogami, objects that have turned into spirits after a hundred years of existence. The siblings sometimes lend these sentient items to customers. Both Obeni and Seiji can see and talk to these spirits, and other tsukumogami often come to the store after hearing of the famed siblings.",2018.0,show,,1.938,6.9,27.0,9.0,tt8574388,80448,"[3, 12, 14, 2, 7]",TV-14,25.0,['JP'],1,Crunchyroll
688,ts221850,221850,The Case Files of Jeweler Richard,/poster/173398606/{profile},"The novel follows Richard Ranashinha Dvorpian, a handsome British jewelry appraiser, and Seigi Nakata, a bright and upright Japanese college student. The duo solves various jewel-related cases by unraveling the hidden .",2020.0,show,,7.786,6.9,182.0,6.2,tt11480896,94412,[2],TV-14,23.0,['JP'],1,Crunchyroll
689,ts88978,88978,Mix: Meisei Story,/poster/253935894/{profile},"Because of the legend left by Tatsuya Uesugi, Meisei Academy High School was well-known for their strong baseball team. But 26 years after their glory, the team has not been able to keep their record and has since lost their fame.

Two stepbrothers, Souichirou and Touma Tachibana, aim to revive of the once-strong Meisei Academy baseball team and enter the National High School Baseball Championship.

Souichirou and Touma are second years in Meisei Academy Middle School. Both boys are talented baseball players. Souichirou has shown excellent skill as a catcher and batter. Though having an extraordinary skill as a pitcher, Touma no longer pitches due to a certain reason.

Once the two enter high school, they pair as a battery and aim to enter the National High School Baseball Championship!",2019.0,show,,6.152,7.3,67.0,8.5,tt10147790,87456,"[6, 15, 2, 13, 23]",,23.0,['JP'],1,Crunchyroll
690,ts38787,38787,Rewrite,/poster/242937091/{profile},"Green City Kazamatsuri is a city built on the ideal of a harmonious relationship between civilization and environment.. However, the peaceful Kazamatsuri will soon be faced with its annual commotion, the Harvest Festa at the turn of the year. It's an event that is much like a massive school festival, and Tennoji Kotaro decides to head out to research topics for his articles. It's an easy decision for him, because the town is filled with rumors about unidentified creature sightings and various other occult occurrences. At the same time, strange things start happening to Kotaro himself.",2016.0,show,,7.916,5.9,170.0,5.7,tt5683292,66101,"[1, 6, 7, 13, 2]",TV-PG,25.0,['JP'],2,Crunchyroll
691,ts28574,28574,Gravitation,/poster/242167310/{profile},"Gravitation follows goofy, wannabe pop star Shuichi Shindo, on his journey to fame with his best friend Hiroshi Nakano and their band, Bad Luck.  Along the way, Shuichi meets famous (male) author, playboy Eiri Yuki, and falls in love.  Bad Luck is signed to a major record label, and Shuichi must learn how to deal with stardom, jealousy,  interference in his band, meeting his musical icon, and dealing with his first romantic relationship - a same-sex celebrity one, at that.",2000.0,show,,2.59,7.2,915.0,6.3,tt0331743,30979,"[2, 6, 3, 11, 13]",TV-PG,23.0,['JP'],1,Crunchyroll
692,ts79726,79726,Unlimited Psychic Squad,/poster/176671161/{profile},"A breeze flutters the lovely silver hair atop the head of a young man wearing a uniform so black, it seems to be mourning something. His name is Hyoubu Kyousuke. He commands the criminal esper organization P.A.N.D.R.A. and continues to soar on midnight black wings through the dark sky, going so far as to start a revolution for the sake of his brethren who share his psychic powers.",2013.0,show,,1.579,7.1,279.0,8.0,tt2575708,78104,"[2, 6, 14, 1]",TV-14,24.0,['JP'],1,Crunchyroll
