jw_entity_id,title,type,release_year,seasons
tm80339,Naruto: Ninja Clash in the Land of Snow,movie,2004,0
tm282915,Fate/Grand Order: First Order,movie,2016,0
tm182601,Steins;Gate: The Movie - Load Region of Déjà Vu,movie,2013,0
tm23135,Escaflowne: The Movie,movie,2000,0
tm437223,Mobile Suit Gundam Narrative,movie,2018,0
tm898567,Attack on Titan: Chronicle,movie,2020,0
tm49446,Revolutionary Girl Utena: The Adolescence of Utena,movie,1999,0
tm145906,Afro Samurai: Resurrection,movie,2009,0
tm174392,Bayonetta: Bloody Fate,movie,2013,0
tm160833,Shinobi: Heart Under Blade,movie,2005,0
tm142818,Vampire Island,movie,2009,0
tm37182,Initial D: Third Stage,movie,2001,0
tm25002,Dragon Ball: Sleeping Princess in Devil's Castle,movie,1987,0
tm177044,Naruto Shippuden the Movie: Blood Prison,movie,2011,0
tm299419,Tokyo Ghoul - movie,movie,2017,0
tm51669,Dragon Ball: Mystical Adventure,movie,1988,0
tm103346,The Legend Is Born: Ip Man,movie,2010,0
tm177704,"Hetalia: Axis Powers: Paint It, White!",movie,2010,0
tm109105,Armitage: Dual Matrix,movie,2002,0
tm105734,Armitage III: Poly Matrix,movie,1996,0
tm96037,Naruto Shippuden the Movie: The Lost Tower,movie,2010,0
tm43987,Fairy Tail: Phoenix Priestess,movie,2012,0
tm146342,King of Thorn,movie,2009,0
tm94487,City Under Siege,movie,2010,0
tm351295,Overlord: The Dark Hero,movie,2017,0
tm311650,Fairy Tail: Dragon Cry,movie,2017,0
tm202885,Street Fighter: Assassin's Fist,movie,2014,0
tm58432,Dragon Age: Dawn of the Seeker,movie,2012,0
tm351281,Overlord: The Undead King,movie,2017,0
tm238707,Accel World: Infinite Burst,movie,2016,0
tm317945,Mazinger Z: Infinity,movie,2017,0
tm134487,Psycho-Pass: The Movie,movie,2015,0
tm147494,Naruto Shippuden the Movie: The Will of Fire,movie,2009,0
tm49405,Inuyasha the Movie: Affections Touching Across Time,movie,2001,0
tm177687,Naruto: Legend of the Stone of Gelel,movie,2005,0
tm43819,Tenchi Forever!,movie,1999,0
tm100285,Alien vs. Ninja,movie,2010,0
tm114586,Tenchi Muyo! In Love,movie,1996,0
tm415168,Bungo Stray Dogs: Dead Apple,movie,2018,0
tm143811,Tales of Vesperia: The First Strike,movie,2009,0
tm704,009 Re:Cyborg,movie,2012,0
tm175466,Hal,movie,2013,0
tm102466,Confucius,movie,2010,0
tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,movie,2002,0
tm138902,Inuyasha the Movie 3: Swords of an Honorable Ruler,movie,2003,0
tm63351,Psychic School Wars,movie,2012,0
tm1038296,Solomon,movie,2021,0
tm89764,Inuyasha the Movie 4: Fire on the Mystic Island,movie,2004,0
tm98993,Eden of the East Movie II: Paradise Lost,movie,2010,0
tm313945,Sekaiichi Hatsukoi Movie,movie,2014,0
tm1032899,Kakushigoto Theatrical Edition,movie,2021,0
tm175097,Smuggler,movie,2011,0
tm152744,"Psalms of Planets Eureka Seven: Good Night, Sleep Tight, Young Lovers",movie,2009,0
tm331848,Free!: Timeless Medley - The Promise,movie,2017,0
tm164240,Appleseed XIII: Tartaros,movie,2011,0
tm315457,Free!: Timeless Medley - The Bond,movie,2017,0
tm247730,Yowamushi Pedal: The Movie,movie,2015,0
tm78681,Vexille,movie,2007,0
tm192670,Tenchi the Movie 2: The Daughter of Darkness,movie,1997,0
tm454619,Free! Road to the World - The Dream,movie,2019,0
tm102868,Majesty,movie,2010,0
tm142945,Eden of the East: Air Communication,movie,2009,0
tm102863,Fafner in the Azure: Dead Aggressor - Heaven and Earth,movie,2010,0
tm142943,Eden of the East Movie I: The King of Eden,movie,2009,0
tm168225,Heaven's Lost Property the Movie: The Angeloid of Clockwork,movie,2011,0
tm168979,Sengoku Basara: The Last Party,movie,2011,0
tm326099,Free!: Take Your Marks,movie,2017,0
tm248669,Yowamushi Pedal Re:ROAD,movie,2015,0
tm135758,Heaven's Lost Property Final – The Movie: Eternally My Master,movie,2014,0
tm222837,High☆Speed!: Free! Starting Days,movie,2015,0
tm164030,Appleseed XIII: Ouranos,movie,2011,0
tm65424,Strike Witches the Movie,movie,2012,0
tm151988,Yowamushi Pedal Re:RIDE,movie,2014,0
tm168005,The Woman Knight of Mirror Lake,movie,2011,0
tm65509,Martian Successor Nadesico: The Motion Picture - Prince of Darkness,movie,1998,0
tm73246,Shakugan no Shana: The Movie,movie,2007,0
ts20740,Dragon Ball Z,show,1989,16
ts20682,Attack on Titan,show,2013,4
ts21560,Dragon Ball,show,1986,10
ts87466,Demon Slayer: Kimetsu no Yaiba,show,2019,3
ts35573,Dragon Ball Super,show,2015,5
ts20339,One Piece,show,1999,21
ts21482,Fullmetal Alchemist: Brotherhood,show,2009,1
ts283022,SPY x FAMILY,show,2022,2
ts37539,One-Punch Man,show,2015,2
ts34435,Cowboy Bebop,show,1998,1
ts222852,Jujutsu Kaisen,show,2020,2
ts38725,My Hero Academia,show,2016,6
ts39013,Mob Psycho 100,show,2016,3
ts11313,DEATH NOTE,show,2006,1
ts22069,Naruto Shippūden,show,2007,24
ts15151,Bleach,show,2004,16
ts35201,Food Wars! Shokugeki no Soma,show,2015,5
ts32835,Hunter x Hunter,show,2011,1
ts20433,JoJo's Bizarre Adventure,show,2012,5
ts86068,Blade Runner: Black Lotus,show,2021,1
ts20305,Naruto,show,2002,6
ts20112,Haikyu!!,show,2014,4
ts37899,Overlord,show,2015,4
ts22244,Steins;Gate,show,2011,2
ts296797,Black Clover,show,2017,4
ts20429,Sword Art Online,show,2012,4
ts28078,Yu Yu Hakusho,show,1992,5
ts35578,Is It Wrong to Try to Pick Up Girls in a Dungeon?,show,2015,4
ts724,FLCL,show,2000,3
ts21984,Assassination Classroom,show,2015,2
ts31799,Samurai Champloo,show,2004,1
ts21034,InuYasha,show,2000,9
ts34950,KILL la KILL,show,2013,1
ts265144,Ranking of Kings,show,2021,1
ts4242,Dragon Ball GT,show,1996,4
ts38785,Berserk,show,2016,2
ts41257,Re:ZERO -Starting Life in Another World-,show,2016,2
ts20250,Parasyte -the maxim-,show,2014,1
ts44928,KonoSuba – God's blessing on this wonderful world!!,show,2016,3
ts34193,The Devil Is a Part-Timer!,show,2013,2
ts25252,Yu-Gi-Oh!,show,1998,7
ts42169,ERASED,show,2016,1
ts35155,Gurren Lagann,show,2007,1
ts25177,Mobile Suit Gundam,show,1979,1
ts20202,Tokyo Ghoul,show,2014,4
ts28125,Fighting Spirit,show,2000,3
